date,trade_code,treatment,searches,price,bookings,revenue
2025-01-01T00:00:00Z,A1,control,5383,2183.32,254,554564.55
2025-01-01T00:00:00Z,A6,control,4356,1908.68,270,515343.52
2025-01-01T00:00:00Z,A7,treatment,13958,2869.53,358,1027290.01
2025-01-01T00:00:00Z,A8,control,10658,3885.71,302,1173484.42
2025-01-01T00:00:00Z,B2,treatment,22362,5248.37,665,3490169.32
2025-01-01T00:00:00Z,C2,control,9089,3070.32,233,715384.52
2025-01-01T00:00:00Z,C3,treatment,7364,3302.8,254,838911.88
2025-01-01T00:00:00Z,C4,control,6031,1447.04,192,277831.12
2025-01-01T00:00:00Z,C6,treatment,12354,3061.54,204,624553.34
2025-01-01T00:00:00Z,D5,treatment,19360,5132.14,307,1575567.07
2025-01-01T00:00:00Z,D9,treatment,5835,1872.39,289,541119.82
2025-01-01T00:00:00Z,E0,treatment,5684,1724.76,301,519151.9
2025-01-01T00:00:00Z,F0,control,6279,2240.14,281,629480.45
2025-01-01T00:00:00Z,F5,control,11134,2941.56,461,1356057.92
2025-01-01T00:00:00Z,F6,treatment,5709,1752.42,261,457380.56
2025-01-01T00:00:00Z,F7,treatment,21164,4071,449,1827877.73
2025-01-01T00:00:00Z,F9,control,8271,3414.75,291,993693.51
2025-01-01T00:00:00Z,H1,control,5613,2083.53,250,520883.4
2025-01-01T00:00:00Z,I6,control,8429,2346.67,362,849492.98
2025-01-01T00:00:00Z,I7,control,3695,1822.73,182,331735.96
2025-01-01T00:00:00Z,I8,treatment,4614,1851.02,209,386863.43
2025-01-01T00:00:00Z,J1,control,5786,1956.72,321,628106.17
2025-01-01T00:00:00Z,J7,treatment,4684,1797.2,187,336075.98
2025-01-01T00:00:00Z,K7,treatment,7306,2056.55,466,958353.6
2025-01-01T00:00:00Z,K8,treatment,8732,3257.57,306,996814.93
2025-01-01T00:00:00Z,L4,control,16638,4956.6,422,2091684.45
2025-01-01T00:00:00Z,M5,control,16418,4224.53,317,1339176.62
2025-01-01T00:00:00Z,M9,control,10908,3772.58,246,928054.84
2025-01-01T00:00:00Z,N9,treatment,12172,2059.7,285,587015.25
2025-01-01T00:00:00Z,O0,control,22955,4915.37,471,2315140.71
2025-01-01T00:00:00Z,O3,control,3292,2173.46,133,289070.11
2025-01-01T00:00:00Z,P0,treatment,3876,2068.88,205,424119.99
2025-01-01T00:00:00Z,P1,control,11216,2973.35,300,892004.47
2025-01-01T00:00:00Z,P4,treatment,6868,3351.68,160,536269.31
2025-01-01T00:00:00Z,Q6,treatment,6956,1822.42,172,313455.51
2025-01-01T00:00:00Z,R3,control,10747,3654.95,304,1111103.44
2025-01-01T00:00:00Z,R8,control,6475,2134.88,260,555068.37
